card name,Set Name,Set Number,quantity
A Realm Reborn,Final Fantasy,196,1
Adarkar Wastes,Duskmourn: House of Horror Commander,258,1
An Offer You Can't Refuse,Foundations,160,1
Arcane Signet,Starter Commander Decks,257,1
Awakening,Stronghold,101,1
Battlefield Forge,Tarkir: Dragonstorm Commander,340,1
Bend or Break,Invasion,137,1
Benefactor's Draught,Commander 2016,21,1
Biomancer's Familiar,Ravnica Allegiance,158,1
Boil,Eighth Edition,180,1
Bountiful Landscape,Modern Horizons 3,217,1
Caves of Koilos,Tarkir: Dragonstorm Commander,348,1
Chef's Kiss,Modern Horizons 2,120,1
Chromatic Lantern,Modern Horizons 3 Commander,285,1
Command Tower,Duskmourn: House of Horror Commander,96,1
Counterspell,Duskmourn: House of Horror Commander,114,1
Cultivate,Core Set 2021,177,1
Curse of Opulence,Tarkir: Dragonstorm Commander,209,1
Deceptive Landscape,Modern Horizons 3,219,1
Deflecting Palm,Murders at Karlov Manor Commander,205,1
Donate,Urza's Destiny,31,1
Duelist's Heritage,Murders at Karlov Manor Commander,60,1
Elder Gargaroth,Aetherdrift Commander,111,1
Eon Frolicker,Commander 2020,33,1
Escape Tunnel,Murders at Karlov Manor,261,1
Evolving Wilds,Foundations,262,1
Exotic Orchard,Duskmourn: House of Horror Commander,275,1
Expropriate,Conspiracy: Take the Crown,30,1
Fact or Fiction,Tales of Middle-earth Commander,190,1
Farewell,Murders at Karlov Manor Commander,64,1
Farseek,Commander 2019,165,1
Fatespinner,Mirrodin,36,1
Fog,N/A,N/A,1
Forbidden Orchard,Commander 2016,296,1
Forcemage Advocate,Judgment,116,1
Foreboding Landscape,Modern Horizons 3,221,1
Forest,Kaladesh,263,4
Fractured Identity,Doctor Who,236,1
Ghostly Prison,Tarkir: Dragonstorm Commander,116,1
Gifts Ungiven,Double Masters 2022,51,1
"Gluntch, the Bestower",N/A,N/A,1
Gomazoa,Zendikar,46,1
Grudge Keeper,Conspiracy,28,1
Head Games,Onslaught,155,1
Humble Defector,Fate Reforged,104,1
Hunted by The Family,Doctor Who,46,1
Hunted Horror,Ravnica: City of Guilds,90,1
Hunted Phantasm,Ravnica: City of Guilds,55,1
Hunted Troll,N/A,N/A,1
Hypergenesis,Time Spiral,201,1
Island,Foundations,275,4
Jester's Mask,Ice Age,325,1
Karplusan Forest,Tarkir: Dragonstorm Commander,374,1
"Kenrith, the Returned King",N/A,N/A,1
Kudzu,Revised Edition,205,1
Lethal Vapors,Scourge,68,1
Magus of the Wheel,New Capenna Commander,271,1
Master of Ceremonies,New Capenna Commander,18,1
Minds Aglow,Commander Masters,105,1
Mob Verdict,Murders at Karlov Manor Commander,33,1
Mountain,Commander Masters,795,4
Necrotic Plague,Magic 2011,107,1
"Nekusar, the Mindrazer",N/A,N/A,1
Not of This World,Commander Masters,807,1
Orzhov Advokist,Murders at Karlov Manor Commander,77,1
Out of Bounds,Battlebond,38,1
Path of Ancestry,The Lost Caverns of Ixalan Commander,346,1
Perch Protection,Bloomburrow Commander,11,1
Perilous Landscape,Modern Horizons 3,223,1
Plains,Dragons of Tarkir,251,4
"Pramikon, Sky Rampart",N/A,N/A,1
Propaganda,Assassin's Creed,85,1
Provoke,Conspiracy,174,1
Rampant Growth,Eighth Edition,274,1
Reflect Damage,Mirage,277,1
Revelation,Chronicles,68,1
Ruinous Ultimatum,Fallout,220,1
Sadistic Shell Game,Duskmourn: House of Horror Commander,24,1
Seedborn Muse,Murders at Karlov Manor Commander,186,1
Seize the Spotlight,Outlaws of Thunder Junction Commander,179,1
"Selvala, Explorer Returned",N/A,N/A,1
Shadrix Silverquill,Tarkir: Dragonstorm Commander,302,1
Shattered Landscape,Modern Horizons 3,226,1
Shivan Reef,Tarkir: Dragonstorm Commander,393,1
Sol Ring,Duskmourn: House of Horror Commander,94,1
Split Decision,Game Night: Free-for-All,39,1
Spore Frog,Bloomburrow Commander,238,1
Standstill,Odyssey,102,1
Starting Town,Final Fantasy,289,1
Sudden Substitution,Commander 2019,11,1
Swamp,Foundations,276,4
Talisman of Conviction,Murders at Karlov Manor Commander,240,1
Talisman of Curiosity,Murders at Karlov Manor Commander,241,1
Talisman of Dominance,Modern Horizons 3 Commander,310,1
Telepathy,Ninth Edition,101,1
Tempt with Bunnies,Bloomburrow Commander,13,1
Tempt with Discovery,Commander 2016,170,1
Tempt with Immortality,Commander 2013,95,1
Tempt with Mayhem,Modern Horizons 3 Commander,114,1
Tempt with Reflections,Commander 2013,60,1
Tempt with Vengeance,Tarkir: Dragonstorm Commander,239,1
Tenuous Truce,Bloomburrow Commander,159,1
Treasure Nabber,Tales of Middle-earth Commander,230,1
Virtus's Maneuver,Battlebond,54,1
Wear // Tear,Dragon's Maze,135,1
Wilderness Reclamation,Duskmourn: House of Horror Commander,205,1
Wishclaw Talisman,Foundations,617,1
Wrong Turn,Commander Legends,107,1
Yavimaya Coast,Duskmourn: House of Horror Commander,327,1
Zirda the Dawnwaker,N/A,N/A,1
Zur's Weirding,Eighth Edition,116,1
